mdb_id,onestop_id,method
mdb-505,f-dr4e-patco,url
mdb-507,f-dr5-mtanyclirr,url
mdb-508,f-dr5-nj~transit~bus,url
mdb-509,f-dr5-nj~transit~rail,url
mdb-510,f-dr5r-mtabc,url
mdb-511,f-dr5r-mtanewyorkcitytransit,url
mdb-512,f-dr5r-mtanyctbusbrooklyn,url
mdb-513,f-dr5r-mtanyctbusmanhattan,url
mdb-514,f-dr5r-mtanyctbusstatenisland,url
mdb-515,f-dr5r-nycferry,url
mdb-516,f-dr5r-nyctsubway,url
mdb-518,f-dr5r7-nycdotsiferry,url
mdb-520,f-dr5x-mtanyctbusqueens,url
mdb-521,f-dr5x-wwwnicebuscom,url
mdb-522,f-dr5x2-jfkairtrain,url
mdb-523,f-dr63-monroecountytransitauthority,url
mdb-524,f-dr7-mtanyc~metro~north,url
mdb-525,f-dr7-nywaterway,url
mdb-526,f-dr7-ulstercountyareatransit,url
mdb-527,f-dr7-westchestercountybee~linesystem,url
mdb-528,f-dr72-mtanyctbusbronx,url
mdb-529,f-dr7cc-norwalktransit,url
mdb-531,f-dr8-accessallegany,url
mdb-532,f-dr8-hornellareatransit,url
mdb-533,f-dr8-rochester~geneseeregionaltransportationauthority,url
mdb-534,f-dr9-centro,url
mdb-535,f-dr997-tompkinsconsolidatedareatransit,url
mdb-536,f-drd-chenangofirsttransit,url
mdb-538,f-dpeg-capitalareatransportationauthority,name_0.80
mdb-540,f-dreh-gloversvilletransitservices,url
mdb-541,f-dres54-cityofmechanicvillepublictransit,url
mdb-544,f-drg-clintoncountypublictransit,url
mdb-545,f-drg-franklincountypublictransportation,url
mdb-546,f-drg-northcountryexpresstransit,url
mdb-548,f-drk-ny~suffolkcountytransit,url
mdb-549,f-drk-seastreak,url
mdb-553,f-drk-cttransit~hartford,url
mdb-557,f-hele~on~hi,url
mdb-558,f-huntingtonpark~ca~us,url
mdb-564,f-las~cruces~road~runner,url
mdb-566,f-lewis~county~ny,url
mdb-571,f-macog,url
mdb-572,f-9qb-sonomacounty~ca~us,name_0.81
mdb-573,f-madison~transit~services~ny,url
mdb-574,f-makah,url
mdb-575,f-met~transit~ia,url
mdb-581,f-mountain~express,url
mdb-582,f-ncrtd~nm,url
mdb-584,f-newburgh~beacon~shuttle~ny,url
mdb-585,f-northern~indiana~commuter~transportation~district,url
mdb-586,f-olean~area~transit~system,url
mdb-587,f-omaha~metro,url
mdb-589,f-otsego~express,url
mdb-590,f-pendleton~or~us,url
mdb-597,f-cttransit~hartford~line,url
mdb-602,f-memphis~area~transit~authority,url
mdb-605,f-canbyferry~or~us,url
mdb-606,f-getaroundtownexpress~ca~us,url
mdb-609,f-glendora~ca~us,url
mdb-610,f-gowal~fl~us,url
mdb-612,f-greeley~evans~transit,url
mdb-613,f-greene~county~transit~ny,url
mdb-614,f-greenride~co~us,url
mdb-615,f-greensboro~nc~us,url
mdb-624,f-drm-rhodeislandpublictransitauthority,url
mdb-625,f-gulfcoastcenter~tx~us,url
mdb-626,f-djn-floridadepartmentoftransportation,url
mdb-628,f-9q9jy-unioncitytransit,name_1.00
mdb-646,f-tulare~county~regional~transit~agency,url
mdb-719,f-dp5k-indiana~mits,url
mdb-803,f-redondo~beach~cities~transit,url
mdb-804,f-rensselaer~county~yankee~trails,url
mdb-805,f-roadrunnertransit~co~us,url
mdb-806,f-rosemead~ca~us,url
mdb-807,f-rrta~pa,url
mdb-808,f-rts~seneca~ny,url
mdb-812,f-santa~clarita,name_0.84
mdb-813,f-santa~ynez~valley~transit,url
mdb-814,f-schuyler~county~public~transit,url
mdb-815,f-smart~ca~us,name_0.85
mdb-816,f-snoqualmie~wa~us,url
